schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
3691400,Ave Maria School of Law,2016,2015,Y,88,29,268,268,0,233,86.9,213,,128,47.8,118,10,43,16,37,,44,16.4,40,,18,6.7,18,,39450,,16000,,2500,
3691400,Ave Maria School of Law,2017,2016,Y,75,31,248,240,8,204,82.3,177,27,81,32.7,71,10,57,23,48,9,48,19.4,45,3,18,7.3,13,5,39450,19725,16000,8000,2500,1250
3691400,Ave Maria School of Law,2018,2017,Y,79,30,241,241,0,169,70.1,169,0,50,20.7,50,0,103,42.7,103,0,0,0,0,0,16,6.6,16,0,39450,0,28000,0,15000,0
3691400,Ave Maria School of Law,2019,2018,Y,91,38,268,268,0,189,70.5,189,,73,27.2,73,,101,37.7,101,,0,0,0,,15,5.6,15,,39450,,27000,,12000,
4096300,Charleston School of Law,2015,2014,Y,68,15,454,362,92,311,68.5,265,46,219,48.2,178,41,91,20,86,5,1,0.2,1,0,0,0,0,0,20000,10000,10500,6500,7500,5000
4096300,Charleston School of Law,2016,2015,Y,14,3,355,299,56,270,76.1,244,26,180,50.7,158,22,90,25.4,86,4,0,0,0,0,0,0,0,0,20000,14250,12000,9250,10000,5750
4096300,Charleston School of Law,2017,2016,N,,,417,364,53,374,89.7,336,38,295,70.7,271,24,79,18.9,65,14,0,0,0,0,0,0,0,0,20000,20000,12000,12500,10000,9000
4096300,Charleston School of Law,2018,2017,N,,,594,594,0,497,83.7,497,0,406,68.4,406,0,87,14.6,87,0,0,0,0,0,4,0.7,4,0,18005,0,12000,0,10000,0
4096300,Charleston School of Law,2019,2018,N,,,657,657,0,581,88.4,581,,423,64.4,423,,158,24,158,,0,0,0,,0,0,0,,22500,,12000,,10000,
4131400,Arizona Summit Law School,2015,2014,Y,141,61,789,476,313,476,60.3,314,162,322,40.8,203,119,143,18.1,107,36,11,1.4,4,7,0,0,0,0,12500,8400,7000,4300,2925,2000
4131400,Arizona Summit Law School,2016,2015,Y,186,88,587,435,152,395,67.3,263,132,295,50.3,198,97,80,13.6,52,28,15,2.6,10,5,5,0.9,3,2,21136,15040,9000,7900,4000,4950
4131400,Arizona Summit Law School,2017,2016,Y,86,30,381,238,143,254,66.7,154,100,173,45.4,97,76,40,10.5,31,9,40,10.5,25,15,1,0.3,1,0,23500,18311,12250,8200,5500,3600
4131400,Arizona Summit Law School,2018,2017,Y,37,18,214,131,83,137,64,58,79,76,35.5,30,46,35,16.4,17,18,26,12.1,11,15,0,0,0,0,38244,23000,17500,10000,6500,5400
4143500,Charlotte School of Law,2015,2014,Y,337,202,1267,957,310,778,61.4,597,181,553,43.6,410,143,188,14.8,154,34,25,2,24,1,12,0.9,9,3,3042,2000,11000,4500,25000,13200
4143500,Charlotte School of Law,2016,2015,Y,264,155,918,658,260,566,61.7,452,114,397,43.2,319,78,154,16.8,123,31,14,1.5,10,4,1,0.1,0,1,20000,11237,8000,4746,4500,2000
4242101,UNT Dallas College Of Law,2015,2014,N,,,153,89,64,151,98.7,90,61,137,89.5,81,56,5,3.3,0,5,8,5.2,8,0,1,0.7,1,0,2500,1125,1500,1125,1500,1125
4242101,UNT Dallas College Of Law,2016,2015,N,,,272,164,108,141,51.8,102,39,122,44.9,99,23,19,7,3,16,0,0,0,0,0,0,0,0,4000,4000,1250,1250,1250,1250
4242101,UNT Dallas College Of Law,2017,2016,N,,,387,215,172,207,53.5,142,65,206,53.2,141,65,1,0.3,1,0,0,0,0,0,0,0,0,0,2300,1938,1357,1188,1000,906
4242101,UNT Dallas College Of Law,2018,2017,N,,,423,247,176,222,52.5,132,90,219,51.8,129,90,3,0.7,3,0,0,0,0,0,0,0,0,0,2000,2000,1500,1200,1000,1000
4242101,UNT Dallas College Of Law,2019,2018,N,,,344,210,134,231,67.2,138,93,231,67.2,138,93,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,1000,1000,750
