schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
100300,Faulkner University,2015,2014,Y,55,9,283,273,10,215,76,215,0,131,46.3,131,0,73,25.8,73,0,11,3.9,11,0,0,0,0,0,17000,0,11220,0,6800,0
100300,Faulkner University,2016,2015,Y,42,2,259,259,0,207,79.9,207,,118,45.6,118,0,79,30.5,79,,10,3.9,10,,0,0,0,,22100,,11220,,6800,
100300,Faulkner University,2017,2016,Y,66,14,248,245,3,190,76.6,190,0,114,46,114,0,59,23.8,59,0,17,6.9,17,0,0,0,0,0,24420,0,12210,0,7400,0
100300,Faulkner University,2018,2017,Y,57,21,224,224,0,170,75.9,170,0,86,38.4,86,0,62,27.7,62,0,22,9.8,22,0,0,0,0,0,26600,0,13000,0,7600,0
100300,Faulkner University,2019,2018,Y,56,4,185,185,0,153,82.7,153,,66,35.7,66,,70,37.8,70,,17,9.2,17,,0,0,0,,31200,,19500,,11700,
103600,Samford University,2015,2014,Y,82,12,426,401,25,212,49.8,209,3,167,39.2,164,3,29,6.8,29,0,15,3.5,15,0,1,0.2,1,0,18117,1500,15000,3395,10000,0
103600,Samford University,2016,2015,Y,140,7,449,424,25,297,66.1,294,3,231,51.4,228,3,51,11.4,51,0,10,2.2,10,0,5,1.1,5,0,18298,12500,13500,10000,8000,7000
103600,Samford University,2017,2016,Y,138,11,434,408,26,348,80.2,346,2,245,56.5,243,2,84,19.4,84,0,15,3.5,15,0,4,0.9,4,0,21600,0,13900,0,9300,0
103600,Samford University,2018,2017,Y,138,19,427,427,0,378,88.5,378,0,277,64.9,277,0,87,20.4,87,0,1,0.2,1,0,13,3,13,0,19224,0,13500,0,9300,0
103600,Samford University,2019,2018,Y,137,19,422,422,0,371,87.9,371,,268,63.5,268,,100,23.7,100,,0,0,0,,3,0.7,3,,21500,,14200,,9300,
105100,University of Alabama,2015,2014,Y,102,27,420,420,0,329,78.3,329,,161,38.3,161,,124,29.5,124,,0,0,0,,44,10.5,44,,26320,,15000,,6000,
105100,University of Alabama,2016,2015,N,,,431,431,0,342,79.4,342,,152,35.3,152,0,138,32,138,,3,0.7,3,,49,11.4,49,,25000,,15100,,6250,
105100,University of Alabama,2017,2016,N,,,409,408,1,305,74.6,305,0,111,27.1,111,0,126,30.8,126,0,7,1.7,7,0,61,14.9,61,0,29880,0,20000,0,7300,0
105100,University of Alabama,2018,2017,N,,,406,406,0,281,69.2,281,0,87,21.4,87,0,116,28.6,116,0,12,3,12,0,66,16.3,66,0,30410,0,21000,0,10000,0
105100,University of Alabama,2019,2018,N,,,381,381,0,292,76.6,292,,83,21.8,83,,137,36,137,,7,1.8,7,,65,17.1,65,,30000,,22100,,12000,
108100,Arizona State University,2015,2014,N,,,576,576,0,320,55.6,320,,132,22.9,132,,152,26.4,152,,18,3.1,18,,18,3.1,18,,27504,,20000,,9773,
108100,Arizona State University,2016,2015,N,,,623,623,0,363,58.3,363,,121,19.4,121,,196,31.5,196,,32,5.1,32,,14,2.2,14,,27824,,25000,,15000,
108100,Arizona State University,2017,2016,N,,,718,718,0,430,59.9,430,,131,18.2,131,,223,31.1,223,,50,7,50,,26,3.6,26,,27226,,20000,,15000,
108100,Arizona State University,2018,2017,N,,,788,788,,507,64.3,507,,221,28,221,,195,24.7,195,,70,8.9,70,,21,2.7,21,,27388,,20000,,10000,
108100,Arizona State University,2019,2018,N,,,819,819,0,623,76.1,623,,416,50.8,416,,126,15.4,126,,57,7,57,,24,2.9,24,,27388,,15000,,6668,
108300,University of Arizona,2015,2014,N,,,379,379,0,273,72,273,,113,29.8,113,,78,20.6,78,,56,14.8,56,,26,6.9,26,,25219,,14225,,7152,
108300,University of Arizona,2016,2015,N,,,361,359,2,284,78.7,284,0,100,27.7,100,0,89,24.7,89,0,55,15.2,55,0,40,11.1,40,0,28820,0,19750,0,9000,0
108300,University of Arizona,2017,2016,N,,,368,364,4,336,91.3,336,0,134,36.4,134,0,63,17.1,63,0,85,23.1,85,0,54,14.7,54,0,30025,0,20525,0,5000,0
108300,University of Arizona,2018,2017,N,,,336,336,0,282,83.9,282,0,98,29.2,98,0,75,22.3,75,0,57,17,57,0,52,15.5,52,0,29839,0,24757,0,7625,0
108300,University of Arizona,2019,2018,N,,,341,341,0,300,88,300,,93,27.3,93,,134,39.3,134,,31,9.1,31,,42,12.3,42,,29000,,24500,,12250,
110101,University of Arkansas-Little Rock,2015,2014,Y,65,16,424,306,118,253,59.7,195,58,165,38.9,119,46,55,13,48,7,23,5.4,18,5,10,2.4,10,0,12431,5941,6015,2750,3008,2000
110101,University of Arkansas-Little Rock,2016,2015,Y,65,16,399,287,112,258,64.7,207,51,147,36.8,114,33,84,21.1,69,15,16,4,13,3,11,2.8,11,0,12888,7827,6400,3781,2678,2000
110101,University of Arkansas-Little Rock,2017,2016,Y,97,34,394,293,101,279,70.8,225,54,138,35,112,26,79,20.1,62,17,58,14.7,47,11,4,1,4,0,13010,8673,7788,4770,3252,2000
110101,University of Arkansas-Little Rock,2018,2017,Y,90,27,392,285,107,280,71.4,219,61,105,26.8,81,24,127,32.4,96,31,40,10.2,34,6,8,2,8,0,13352,8901,10014,5341,3338,2225
110101,University of Arkansas-Little Rock,2019,2018,Y,99,34,431,330,101,294,68.2,221,73,109,25.3,79,30,140,32.5,108,32,38,8.8,27,11,7,1.6,7,0,13352,9791,10014,6676,3338,2225
110800,University of Arkansas-Fayetteville,2015,2014,Y,12,4,361,361,0,162,44.9,162,,96,26.6,96,,57,15.8,57,,4,1.1,4,,5,1.4,5,,10147,,8000,,1700,
110800,University of Arkansas-Fayetteville,2016,2015,Y,56,36,350,350,0,151,43.1,151,,84,24,84,0,62,17.7,62,,0,0,0,,5,1.4,5,,10550,,8000,,4000,
110800,University of Arkansas-Fayetteville,2017,2016,Y,65,36,352,352,0,182,51.7,182,,96,27.3,96,,81,23,81,,0,0,0,,5,1.4,5,,11500,,8000,,2050,
110800,University of Arkansas-Fayetteville,2018,2017,Y,53,27,336,336,,161,47.9,161,,78,23.2,78,,74,22,74,,0,0,0,,10,3,10,,12433,,9000,,5000,
110800,University of Arkansas-Fayetteville,2019,2018,Y,54,29,342,342,0,170,49.7,169,,99,28.9,98,,60,17.5,60,,0,0,0,,11,3.2,11,,12320,,8000,,2000,
116453,Chapman University,2015,2014,Y,112,39,473,444,29,274,57.9,255,19,100,21.1,88,12,84,17.8,82,2,71,15,69,2,19,4,16,3,46300,29472,37040,5000,18520,3684
116453,Chapman University,2016,2015,Y,106,54,467,436,31,265,56.7,252,13,56,12,55,1,101,21.6,92,9,73,15.6,71,2,35,7.5,34,1,48150,38220,38520,34560,24075,22132
116453,Chapman University,2017,2016,Y,109,50,479,453,26,274,57.2,257,17,67,14,63,4,88,18.4,81,7,83,17.3,79,4,36,7.5,34,2,50076,35964,40061,31968,25038,20030
116453,Chapman University,2018,2017,Y,116,50,491,491,0,285,58,277,8,96,19.6,93,3,162,33,158,4,0,0,0,0,27,5.5,26,1,51578,41732,41262,41160,20631,16464
116453,Chapman University,2019,2018,Y,118,57,491,491,0,277,56.4,269,,76,15.5,72,,194,39.5,190,,0,0,0,,7,1.4,7,,53124,,47742,,23100,
120529,Golden Gate University,2015,2014,Y,97,59,449,301,148,264,58.8,217,47,147,32.7,124,23,92,20.5,74,18,25,5.6,19,6,0,0,0,0,30000,23000,20000,15572,8000,9500
120529,Golden Gate University,2016,2015,Y,106,61,348,254,94,212,60.9,163,49,114,32.8,91,23,66,19,53,13,32,9.2,19,13,0,0,0,0,30000,25000,20000,18000,10000,10000
120529,Golden Gate University,2017,2016,Y,87,50,355,261,94,242,68.2,183,59,104,29.3,77,27,74,20.8,60,14,62,17.5,44,18,2,0.6,2,0,41000,35200,27015,20000,10000,8000
120529,Golden Gate University,2018,2017,Y,124,60,414,315,99,302,72.9,259,43,121,29.2,112,9,124,30,104,20,15,3.6,9,6,42,10.1,34,8,40100,35200,30000,28800,10000,20000
120529,Golden Gate University,2019,2018,Y,108,66,533,432,101,398,74.7,351,47,135,25.3,126,9,131,24.6,107,24,45,8.4,33,12,87,16.3,85,2,49500,36300,34500,30000,15000,20000
121601,University of La Verne,2015,2014,N,,,149,106,43,44,29.5,23,21,23,15.4,13,10,19,12.8,8,11,2,1.3,2,0,0,0,0,0,9613,6927,13600,14899,25000,19600
121601,University of La Verne,2016,2015,N,,,194,138,56,18,9.3,10,8,10,5.2,6,4,4,2.1,1,3,4,2.1,3,1,0,0,0,0,21875,13307,10100,9449,7100,3315
121601,University of La Verne,2017,2016,N,,,239,176,63,33,13.8,9,24,32,13.4,8,24,0,0,0,0,1,0.4,1,0,0,0,0,0,2400,2400,2400,2400,2317,2400
121601,University of La Verne,2018,2017,N,,,263,187,76,0,0,0,0,53,20.2,34,19,0,0,0,0,0,0,0,0,0,0,0,0,5600,5000,4000,4800,2000,4000
121601,University of La Verne,2019,2018,N,,,285,199,86,45,15.8,34,11,45,15.8,34,11,0,0,0,0,0,0,0,0,0,0,0,0,3271,2500,2500,2500,1800,1000
129500,Southwestern Law School,2015,2014,Y,86,13,1048,687,361,437,41.7,291,146,281,26.8,181,100,104,9.9,72,32,21,2,17,4,31,3,21,10,33333,18638,16882,9500,9819,4000
129500,Southwestern Law School,2016,2015,Y,87,36,977,659,318,485,49.6,339,146,321,32.9,214,107,126,12.9,96,30,17,1.7,13,4,21,2.1,16,5,30000,16300,19700,7679,7500,3500
129500,Southwestern Law School,2017,2016,Y,107,48,865,607,258,430,49.7,316,114,264,30.5,186,78,149,17.2,117,32,13,1.5,9,4,4,0.5,4,0,32685,19990,19975,12764,9951,5381
129500,Southwestern Law School,2018,2017,Y,106,46,765,545,220,415,54.2,298,117,251,32.8,176,75,148,19.3,112,36,7,0.9,5,2,9,1.2,5,4,32688,20760,24446,11250,11250,3300
129500,Southwestern Law School,2019,2018,Y,122,57,718,518,200,386,53.8,286,100,242,33.7,182,60,128,17.8,93,35,10,1.4,8,2,6,0.8,3,3,33334,21993,25340,13895,15000,4625
130503,Stanford University,2015,2014,N,,,577,577,0,278,48.2,278,,155,26.9,155,,119,20.6,119,,1,0.2,1,,3,0.5,3,,34443,,22399,,15226,
130503,Stanford University,2016,2015,N,,,572,572,0,259,45.3,259,,155,27.1,155,,102,17.8,102,,2,0.3,2,,0,0,0,,33734,,24163,,16583,
130503,Stanford University,2017,2016,N,,,579,579,0,262,45.3,262,,148,25.6,148,,103,17.8,103,,2,0.3,2,,9,1.6,9,,37913,,25405,,17235,
130503,Stanford University,2018,2017,N,,,565,565,,263,46.5,263,,101,17.9,101,,152,26.9,152,,3,0.5,3,,7,1.2,7,,43571,,33016,,21488,
130503,Stanford University,2019,2018,N,,,565,565,0,316,55.9,316,,137,24.2,137,,165,29.2,165,,1,0.2,1,,13,2.3,13,,44756,,32072,,20440,
131273,University of California-Berkeley,2015,2014,N,,,894,890,4,539,60.3,539,0,360,40.3,360,0,154,17.2,154,0,0,0,0,0,25,2.8,25,0,25030,0,18887,0,6256,0
131273,University of California-Berkeley,2016,2015,N,,,939,935,4,577,61.4,577,0,354,37.7,354,0,171,18.2,171,0,0,0,0,0,52,5.5,52,0,29000,0,20000,0,7969,0
131273,University of California-Berkeley,2017,2016,N,,,926,925,1,595,64.3,595,0,386,41.7,386,0,173,18.7,173,0,0,0,0,0,36,3.9,36,0,27500,0,20000,0,5000,0
131273,University of California-Berkeley,2018,2017,N,,,943,943,0,608,64.5,608,0,377,40,377,0,196,20.8,196,0,0,0,0,0,35,3.7,35,0,30000,0,22500,0,9838,0
131273,University of California-Berkeley,2019,2018,N,,,982,982,0,668,68,668,,324,33,324,,315,32.1,315,,0,0,0,,29,3,29,,32500,,25000,,15000,
131373,University of California-Davis,2015,2014,N,,,513,513,0,391,76.2,391,,173,33.7,173,,214,41.7,214,,0,0,0,,4,0.8,4,,30000,,25000,,15000,
131373,University of California-Davis,2016,2015,N,,,494,494,0,431,87.2,431,,99,20,99,,287,58.1,287,,0,0,0,,45,9.1,45,,41000,,32500,,25000,
131373,University of California-Davis,2017,2016,N,,,505,505,0,445,88.1,445,,117,23.2,117,,277,54.9,277,,0,0,0,,51,10.1,51,,40000,,30600,,23000,
131373,University of California-Davis,2018,2017,N,,,500,500,,462,92.4,462,,113,22.6,113,,277,55.4,277,,0,0,0,,72,14.4,72,,40375,,32500,,24500,
131373,University of California-Davis,2019,2018,N,,,530,530,0,465,87.7,465,,133,25.1,133,,291,54.9,291,,0,0,0,,41,7.7,41,,40000,,30000,,20000,
131400,University of California-Irvine,2015,2014,N,,,326,326,0,296,90.8,296,,150,46,150,,133,40.8,133,,13,4,13,,0,0,0,,35000,,20000,,10000,
131400,University of California-Irvine,2016,2015,N,,,334,334,0,310,92.8,310,,124,37.1,124,,170,50.9,170,,16,4.8,16,,0,0,0,,35000,,25000,,15750,
131400,University of California-Irvine,2017,2016,N,,,356,356,0,341,95.8,341,,206,57.9,206,,120,33.7,120,,15,4.2,15,,0,0,0,,32000,,25000,,18000,
131400,University of California-Irvine,2018,2017,N,,,420,420,,394,93.8,394,,182,43.3,182,,202,48.1,202,,10,2.4,10,,0,0,0,,30000,,25000,,20000,
131400,University of California-Irvine,2019,2018,N,,,514,514,0,493,95.9,493,,385,74.9,385,,103,20,103,,5,1,5,,0,0,0,,25000,,20000,,17000,
131500,University of California-Los Angeles,2015,2014,Y,145,0,992,992,0,789,79.5,789,,450,45.4,450,,282,28.4,282,,8,0.8,8,,49,4.9,49,,31808,,21000,,11125,
131500,University of California-Los Angeles,2016,2015,N,,,974,974,0,778,79.9,778,,447,45.9,447,,284,29.2,284,,7,0.7,7,,40,4.1,40,,31075,,21000,,11528,
131500,University of California-Los Angeles,2017,2016,N,,,979,979,0,770,78.7,770,,470,48,470,,271,27.7,271,,9,0.9,9,,20,2,20,,30795,,21000,,13334,
131500,University of California-Los Angeles,2018,2017,N,,,942,942,,759,80.6,759,,494,52.4,494,,249,26.4,249,,9,1,9,,7,0.7,7,,28334,,20000,,13334,
131500,University of California-Los Angeles,2019,2018,N,,,955,955,0,783,82,783,,560,58.6,560,,206,21.6,206,,12,1.3,12,,5,0.5,5,,25000,,20000,,13733,
132500,University of San Francisco,2015,2014,Y,47,17,527,425,102,251,47.6,203,48,121,23,89,32,129,24.5,113,16,0,0,0,0,1,0.2,1,0,27000,20000,23000,9750,10000,3500
132500,University of San Francisco,2016,2015,Y,49,14,528,431,97,261,49.4,217,44,104,19.7,83,21,150,28.4,130,20,4,0.8,4,0,3,0.6,0,3,33000,23000,26879,16600,10000,10000
132500,University of San Francisco,2017,2016,Y,45,16,524,425,99,249,47.5,203,46,117,22.3,94,23,119,22.7,99,20,13,2.5,10,3,0,0,0,0,34000,26000,25000,19000,10000,10000
132500,University of San Francisco,2018,2017,Y,83,25,461,384,77,259,56.2,221,38,82,17.8,59,23,155,33.6,145,10,22,4.8,17,5,0,0,0,0,37000,28000,30000,25000,20400,11096
132500,University of San Francisco,2019,2018,Y,77,31,399,336,63,271,67.9,237,34,70,17.5,62,8,182,45.6,157,25,16,4,15,1,3,0.8,3,0,37000,31150,30000,26000,20000,14000
132600,Santa Clara University,2015,2014,Y,90,28,643,478,165,414,64.4,301,113,329,51.2,247,82,56,8.7,38,18,27,4.2,14,13,2,0.3,2,0,20000,19000,12000,9500,9000,3000
132600,Santa Clara University,2016,2015,Y,183,63,653,506,147,470,72,364,106,305,46.7,233,72,146,22.4,120,26,17,2.6,9,8,2,0.3,2,0,25000,20000,20000,10000,10000,5000
132600,Santa Clara University,2017,2016,Y,134,48,658,537,121,395,60,324,71,303,46,260,43,76,11.6,55,21,16,2.4,9,7,0,0,0,0,25000,25000,20000,11500,10000,7500
132600,Santa Clara University,2018,2017,Y,95,32,698,698,0,393,56.3,307,86,265,38,218,47,115,16.5,80,35,13,1.9,9,4,0,0,0,0,27500,25000,25000,11875,15000,7500
132600,Santa Clara University,2019,2018,Y,150,59,718,718,0,419,58.4,394,,284,39.6,266,,122,17,119,,13,1.8,9,,0,0,0,,30000,,25000,,10000,
132800,University of Southern California,2015,2014,N,,,606,604,2,533,88,533,0,310,51.2,310,0,210,34.7,210,0,7,1.2,7,0,6,1,6,0,32000,0,25000,0,20000,0
132800,University of Southern California,2016,2015,N,,,601,598,3,545,90.7,545,0,266,44.3,266,0,260,43.3,260,0,13,2.2,13,0,6,1,6,0,35000,0,30000,0,20000,0
132800,University of Southern California,2017,2016,N,,,649,649,0,603,92.9,603,,267,41.1,267,,316,48.7,316,,15,2.3,15,,5,0.8,5,,37000,,30000,,20500,
132800,University of Southern California,2018,2017,N,,,624,624,,582,93.3,582,,334,53.5,334,,232,37.2,232,,10,1.6,10,,6,1,6,,40000,,30000,,20000,
132800,University of Southern California,2019,2018,N,,,614,614,0,598,97.4,598,,313,51,313,,277,45.1,277,,3,0.5,3,,5,0.8,5,,40000,,31000,,25000,
132901,McGeorge School of Law,2015,2014,Y,22,4,553,416,137,418,75.6,293,125,314,56.8,218,96,67,12.1,46,21,25,4.5,19,6,12,2.2,10,2,23231,15000,11827,11191,8238,6625
132901,McGeorge School of Law,2016,2015,Y,98,32,477,356,121,443,92.9,319,124,302,63.3,217,85,92,19.3,67,25,20,4.2,15,5,29,6.1,20,9,26183,17000,13046,11296,8907,7500
132901,McGeorge School of Law,2017,2016,Y,111,49,472,357,115,462,97.9,348,114,286,60.6,209,77,134,28.4,107,27,1,0.2,0,1,41,8.7,32,9,31790,21005,18627,11250,11250,6250
132901,McGeorge School of Law,2018,2017,Y,103,46,471,350,121,452,96,337,115,266,56.5,193,73,150,31.8,122,28,10,2.1,6,4,26,5.5,16,10,36804,19812,16850,11050,6850,6050
132901,McGeorge School of Law,2019,2018,Y,133,49,511,402,109,460,90,372,88,248,48.5,187,61,135,26.4,118,17,67,13.1,62,5,10,2,5,5,48970,20054,25556,11000,6000,6600
134201,Whittier Law School,2015,2014,N,,,536,409,127,287,53.5,202,85,182,34,124,58,88,16.4,65,23,11,2.1,9,2,6,1.1,4,2,30000,19000,17965,10000,9000,3500
134201,Whittier Law School,2016,2015,N,,,456,326,130,258,56.6,191,67,153,33.6,119,34,92,20.2,65,27,13,2.9,7,6,0,0,0,0,26250,22763,18000,14000,9695,5332
134201,Whittier Law School,2017,2016,N,,,391,275,116,149,38.1,118,31,72,18.4,56,16,63,16.1,53,10,7,1.8,5,2,7,1.8,4,3,28750,22425,22426,10465,12000,7238
134201,Whittier Law School,2018,2017,N,,,154,102,52,52,33.8,37,15,33,21.4,24,9,16,10.4,11,5,3,1.9,2,1,0,0,0,0,28185,15601,6000,9244,750,4109
137000,University of Colorado,2015,2014,N,,,234,234,0,416,177.8,416,,321,137.2,321,,94,40.2,94,,0,0,0,,1,0.4,1,,14000,,11000,,5000,
137000,University of Colorado,2016,2015,N,,,555,551,4,449,80.9,449,0,320,57.7,320,0,126,22.7,126,0,0,0,0,0,3,0.5,3,0,19463,0,11000,0,6681,0
137000,University of Colorado,2017,2016,N,,,529,523,6,455,86,455,0,343,64.8,343,0,104,19.7,104,0,0,0,0,0,8,1.5,8,0,15505,0,10000,0,6000,0
137000,University of Colorado,2018,2017,N,,,548,548,0,435,79.4,435,0,294,53.6,294,0,131,23.9,131,0,0,0,0,0,10,1.8,10,0,18857,0,11500,0,7798,0
137000,University of Colorado,2019,2018,N,,,512,512,0,420,82,420,,282,55.1,282,,120,23.4,120,,5,1,5,,13,2.5,13,,18500,,11500,,10000,
137100,University of Denver,2015,2014,Y,129,23,863,725,138,425,49.2,372,53,161,18.7,141,20,209,24.2,182,27,54,6.3,48,6,1,0.1,1,0,26000,21000,21000,15000,14000,8424
137100,University of Denver,2016,2015,Y,149,32,817,701,116,434,53.1,386,48,151,18.5,132,19,233,28.5,210,23,48,5.9,42,6,2,0.2,2,0,30000,23647,22500,16875,15000,10800
137100,University of Denver,2017,2016,Y,132,15,780,673,107,414,53.1,369,45,202,25.9,179,23,157,20.1,139,18,49,6.3,45,4,6,0.8,6,0,30000,22500,22500,15800,15000,11250
137100,University of Denver,2018,2017,Y,129,6,763,657,106,425,55.7,386,39,190,24.9,176,14,180,23.6,162,18,49,6.4,42,7,6,0.8,6,0,16500,11250,24000,18000,33000,24750
137100,University of Denver,2019,2018,Y,144,13,756,654,102,446,59,398,48,236,31.2,219,17,158,20.9,135,23,52,6.9,44,8,0,0,0,0,34000,25500,25000,19061,17000,12375
140201,Quinnipiac University,2015,2014,Y,80,33,290,232,58,226,77.9,194,32,104,35.9,77,27,92,31.7,87,5,30,10.3,30,0,0,0,0,0,35000,15000,25000,10000,12500,5000
140201,Quinnipiac University,2016,2015,Y,61,20,267,208,59,215,80.5,181,34,85,31.8,62,23,99,37.1,88,11,31,11.6,31,0,0,0,0,0,40000,18000,30000,10000,15000,5000
140201,Quinnipiac University,2017,2016,Y,66,27,278,215,63,222,79.9,183,39,76,27.3,55,21,113,40.6,95,18,33,11.9,33,0,0,0,0,0,40000,20000,30000,15000,16500,10000
140201,Quinnipiac University,2018,2017,Y,89,35,312,235,77,259,83,216,43,91,29.2,67,24,144,46.2,125,19,24,7.7,24,0,0,0,0,0,40000,20000,30000,15000,19000,5000
140201,Quinnipiac University,2019,2018,Y,73,30,331,264,67,267,80.7,219,48,119,36,85,34,118,35.6,104,14,30,9.1,30,0,0,0,0,0,35000,20000,30000,12000,15000,6500
141706,University of Connecticut,2015,2014,Y,25,0,500,385,115,380,76,326,54,211,42.2,174,37,96,19.2,84,12,41,8.2,41,0,32,6.4,27,5,26224,12500,16625,7500,11000,6000
141706,University of Connecticut,2016,2015,N,,,433,328,105,312,72.1,267,45,195,45,162,33,69,15.9,62,7,20,4.6,20,0,28,6.5,23,5,22800,7600,11000,6000,11000,2400
141706,University of Connecticut,2017,2016,N,,,391,287,104,276,70.6,227,49,201,51.4,158,43,57,14.6,51,6,4,1,4,0,14,3.6,14,0,20000,10000,11000,7200,9625,4000
141706,University of Connecticut,2018,2017,N,,,370,278,92,269,72.7,222,47,173,46.8,132,41,91,24.6,85,6,0,0,0,0,5,1.4,5,0,22416,10000,14272,6400,8000,5000
141706,University of Connecticut,2019,2018,N,,,415,325,90,337,81.2,287,50,144,34.7,107,37,174,41.9,161,13,19,4.6,19,0,0,0,0,0,22053,10500,14702,10000,7500,5000
142600,Yale University,2015,2014,N,,,608,607,1,366,60.2,366,0,240,39.5,240,0,126,20.7,126,0,0,0,0,0,0,0,0,0,32730,0,22997,0,14905,0
142600,Yale University,2016,2015,N,,,614,614,0,357,58.1,357,,191,31.1,191,,166,27,166,,0,0,0,,0,0,0,,34667,,26067,,17742,
142600,Yale University,2017,2016,N,,,633,632,1,383,60.5,383,0,217,34.3,217,0,166,26.2,166,0,0,0,0,0,0,0,0,0,35066,0,26529,0,18195,0
142600,Yale University,2018,2017,N,,,625,625,0,369,59,369,0,212,33.9,212,0,155,24.8,155,0,2,0.3,2,0,0,0,0,0,35984,0,26734,0,18417,0
142600,Yale University,2019,2018,N,,,621,621,0,373,60.1,373,,227,36.6,227,,146,23.5,146,,0,0,0,,0,0,0,,36902,,28005,,20444,
143401,American University,2015,2014,Y,5,0,1366,1117,249,583,42.7,541,42,509,37.3,467,42,37,2.7,37,0,37,2.7,37,0,0,0,0,0,17500,12500,13000,10000,7500,5000
143401,American University,2016,2015,Y,5,0,1288,1052,236,658,51.1,584,74,577,44.8,503,74,62,4.8,62,0,17,1.3,17,0,2,0.2,2,0,20000,16500,15000,12500,9000,9000
143401,American University,2017,2016,Y,7,0,1277,1035,242,812,63.6,716,96,597,46.8,535,62,185,14.5,152,33,28,2.2,27,1,2,0.2,2,0,25000,25000,17500,15000,12500,9375
143401,American University,2018,2017,Y,5,0,1316,1097,219,790,60,684,106,444,33.7,393,51,305,23.2,252,53,38,2.9,36,2,3,0.2,3,0,32500,30000,25000,25000,15000,12500
143401,American University,2019,2018,Y,9,0,1316,1097,219,794,60.3,664,130,200,15.2,176,24,535,40.7,432,103,59,4.5,56,3,0,0,0,0,35000,30000,30000,30000,25000,25000
143711,Catholic University of America,2015,2014,N,,,455,291,164,323,71,229,94,230,50.5,157,73,91,20,70,21,2,0.4,2,0,0,0,0,0,25000,16000,15000,10000,10000,7500
143711,Catholic University of America,2016,2015,N,,,420,283,137,330,78.6,229,101,207,49.3,139,68,120,28.6,88,32,3,0.7,2,1,0,0,0,0,26000,18000,16000,13500,10000,7500
143711,Catholic University of America,2017,2016,Y,15,0,380,261,119,322,84.7,227,95,203,53.4,141,62,103,27.1,76,27,16,4.2,10,6,0,0,0,0,27500,18000,17500,14000,7500,5000
143711,Catholic University of America,2018,2017,Y,18,3,352,228,124,319,90.6,213,106,220,62.5,149,71,63,17.9,42,21,31,8.8,19,12,5,1.4,3,2,27500,25000,14000,14000,7500,5000
143711,Catholic University of America,2019,2018,Y,22,3,377,255,122,353,93.6,242,111,229,60.7,161,68,71,18.8,44,27,50,13.3,35,15,3,0.8,2,1,30000,25000,14000,13125,7500,6250
144102,District of Columbia,2015,2014,N,,,306,162,144,160,52.3,93,67,105,34.3,62,43,39,12.7,17,22,6,2,6,0,10,3.3,8,2,8500,5000,5500,3600,2000,2050
144102,District of Columbia,2016,2015,N,,,303,156,147,178,58.7,102,76,87,28.7,50,37,64,21.1,31,33,25,8.3,20,5,2,0.7,1,1,11188,7712,8500,5750,3763,3238
144102,District of Columbia,2017,2016,N,,,274,134,140,156,56.9,86,70,84,30.7,48,36,57,20.8,31,26,15,5.5,7,8,0,0,0,0,10750,6500,6000,5000,2500,2500
144102,District of Columbia,2018,2017,Y,61,16,271,137,134,172,63.5,99,73,60,22.1,31,29,92,33.9,56,36,20,7.4,12,8,0,0,0,0,12129,10000,8637,7000,5758,4095
144102,District of Columbia,2019,2018,Y,41,7,218,103,115,155,71.1,75,80,59,27.1,30,29,72,33,34,38,24,11,11,13,0,0,0,0,17939,11000,8879,6888,5000,4010
144402,George Washington University,2015,2014,N,,,1646,1376,270,1038,63.1,972,66,851,51.7,798,53,134,8.1,123,11,53,3.2,51,2,0,0,0,0,12000,6000,16000,10000,24000,15000
144402,George Washington University,2016,2015,N,,,1706,1469,237,891,52.2,814,77,733,43,678,55,113,6.6,96,17,45,2.6,40,5,0,0,0,0,24000,20000,17000,13000,13000,8000
144402,George Washington University,2017,2016,N,,,1671,1462,209,1101,65.9,1036,65,881,52.7,824,57,163,9.8,155,8,56,3.4,56,0,1,0.1,1,0,26000,20000,20000,12000,16000,9000
144402,George Washington University,2018,2017,N,,,1494,1298,196,1028,68.8,963,65,702,47,653,49,279,18.7,271,8,46,3.1,39,7,1,0.1,0,1,30000,20000,25000,13000,16000,8000
144402,George Washington University,2019,2018,N,,,1531,1367,164,1165,76.1,1106,59,720,47,685,35,405,26.5,388,17,40,2.6,33,7,0,0,0,0,35000,25000,25000,16000,18000,10000
144503,Georgetown University,2015,2014,N,,,1966,1719,247,855,43.5,831,24,596,30.3,573,23,256,13,256,0,3,0.2,2,1,0,0,0,0,30000,10000,20000,10000,10700,5000
144503,Georgetown University,2016,2015,N,,,1966,1725,241,961,48.9,931,30,676,34.4,647,29,283,14.4,282,1,1,0.1,1,0,1,0.1,1,0,30000,10000,20000,9207,12200,5000
